"date","site","group","measured_temperature_average","measured_temperature_max","measured_temperature_min","silo_max_temperature","silo_min_temperature","silo_rain","Date2","lat","long","silo_average_temperature","month","predict_temp_avg","predict_temp_max","predict_temp_min","composite_temperature_max","composite_temperature_min","composite_temperature_avg"
2024-03-07,"site-b",10,NA,NA,NA,30,21,5.9,"7/03/2024",-17.95,145.4,25.5,3,23.9586827272038,37.4112234049419,19.9346642683668,37.4112234049419,19.9346642683668,23.9586827272038
2024-03-08,"site-b",10,NA,NA,NA,28,21.8,20.1,"8/03/2024",-17.95,145.4,24.9,3,23.2584560865195,34.3185153748899,20.9945779411617,34.3185153748899,20.9945779411617,23.2584560865195
2024-03-09,"site-b",10,NA,NA,NA,27.5,21.8,10.4,"9/03/2024",-17.95,145.4,24.65,3,22.9666949862343,33.5453383673769,20.9945779411617,33.5453383673769,20.9945779411617,22.9666949862343
2024-03-10,"site-b",10,NA,NA,NA,27.9,21.6,6.6,"10/03/2024",-17.95,145.4,24.75,3,23.0833994263484,34.1638799733873,20.7295995229629,34.1638799733873,20.7295995229629,23.0833994263484
2024-03-11,"site-b",10,NA,NA,NA,28.2,21.4,1.9,"11/03/2024",-17.95,145.4,24.8,3,23.1417516464054,34.6277861778952,20.4646211047642,34.6277861778952,20.4646211047642,23.1417516464054
2024-03-12,"site-b",10,NA,NA,NA,28.2,20.5,8.9,"12/03/2024",-17.95,145.4,24.35,3,22.6165816658922,34.6277861778952,19.2722182228701,34.6277861778952,19.2722182228701,22.6165816658922
2024-03-13,"site-b",10,NA,NA,NA,29.3,19.1,0,"13/03/2024",-17.95,145.4,24.2,3,22.4415250057211,36.3287755944237,17.4173692954791,36.3287755944237,17.4173692954791,22.4415250057211
2024-03-14,"site-b",10,NA,NA,NA,31.2,17.4,0,"14/03/2024",-17.95,145.4,24.3,3,22.5582294458351,39.2668482229731,15.1650527407901,39.2668482229731,15.1650527407901,22.5582294458351
2024-03-15,"site-b",10,NA,NA,NA,31.4,19.3,0.3,"15/03/2024",-17.95,145.4,25.35,3,23.7836260670327,39.5761190259783,17.6823477136778,39.5761190259783,17.6823477136778,23.7836260670327
2024-03-16,"site-b",10,NA,NA,NA,29.3,21.4,0,"16/03/2024",-17.95,145.4,25.35,3,23.7836260670327,36.3287755944237,20.4646211047642,36.3287755944237,20.4646211047642,23.7836260670327
2024-03-17,"site-b",10,NA,NA,NA,26.5,21.6,13.9,"17/03/2024",-17.95,145.4,24.05,3,22.26646834555,31.998984352351,20.7295995229629,31.998984352351,20.7295995229629,22.26646834555
2024-03-18,"site-b",10,NA,NA,NA,25.8,20.8,1.7,"18/03/2024",-17.95,145.4,23.3,3,21.3911850446945,30.9165365418328,19.6696858501681,30.9165365418328,19.6696858501681,21.3911850446945
2024-03-19,"site-b",10,NA,NA,NA,27,20.2,17.7,"19/03/2024",-17.95,145.4,23.6,3,21.7412983650367,32.772161359864,18.874750595572,32.772161359864,18.874750595572,21.7412983650367
2024-03-20,"site-b",10,NA,NA,NA,28.3,20.8,4.5,"20/03/2024",-17.95,145.4,24.55,3,22.8499905461203,34.7824215793978,19.6696858501681,34.7824215793978,19.6696858501681,22.8499905461203
2024-03-21,"site-b",10,NA,NA,NA,28.5,20.9,0.1,"21/03/2024",-17.95,145.4,24.7,3,23.0250472062914,35.0916923824029,19.8021750592675,35.0916923824029,19.8021750592675,23.0250472062914
