"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 37,"early_dry",2.097985e+01,2,0,32.62713,0.101920842,0.073924632,0.024258442,0.357219557
 37,"late_dry",4.222345e-01,0,1,29.55968,0.041505441,0.043548405,0.005798203,0.281881506
 37,"late_wet",4.623756e+01,4,0,38.36120,0.220042051,0.189802650,0.048405337,0.647583189
 37,"wet",7.042259e+01,3,0,33.02103,0.087871104,0.072581770,0.020458584,0.372910472
 38,"dry",1.027968e+01,3,1,24.64434,0.077617531,0.091340677,0.007962849,0.505054893
 38,"early_dry",1.683557e+01,1,1,32.44364,0.104113093,0.089799528,0.020086659,0.434765819
 38,"late_dry",5.192058e-01,4,0,31.89981,0.039828585,0.049440564,0.004670375,0.356230424
 38,"late_wet",4.483165e+01,4,1,38.17390,0.225431301,0.229485050,0.030815397,0.751479475
 38,"wet",1.116586e+02,5,1,34.93330,0.079258376,0.112364701,0.007427897,0.578298048
 39,"dry",7.019509e+00,2,1,24.93795,0.076401661,0.080925900,0.009352682,0.440836750
 39,"early_dry",1.820906e+01,3,1,33.44328,0.103327325,0.110969270,0.013092150,0.537573632
 39,"late_dry",1.692524e-01,5,0,29.39415,0.043907100,0.060963879,0.004930321,0.440712831
 39,"late_wet",3.373120e+01,5,1,38.18214,0.232983810,0.263765548,0.029805926,0.778702384
 39,"wet",1.112493e+02,3,0,32.97695,0.080334096,0.071752702,0.016371256,0.370440816
 40,"dry",4.122454e+00,2,1,24.68824,0.077574106,0.082096619,0.009499882,0.445365714
 40,"early_dry",9.974875e+00,1,0,30.65216,0.109784596,0.066489086,0.031720990,0.318530089
 40,"late_dry",6.256049e-04,1,1,31.79461,0.039063837,0.041653872,0.005133910,0.271883596
 40,"late_wet",2.793420e+01,3,1,39.30081,0.223531975,0.200343317,0.035231125,0.714325481
 40,"wet",1.076362e+01,3,1,33.28848,0.102370693,0.102458127,0.015513405,0.511396011
 41,"dry",9.965525e+00,4,0,24.43198,0.077756609,0.094079365,0.009676141,0.505743223
