"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 41,"early_dry",1.358854e+01,4,1,29.99244,0.15520567,0.08209544,0.06031048,0.37750522
 41,"late_dry",5.208896e-01,0,0,30.84779,0.25685397,0.06673480,0.14852370,0.40646070
 41,"late_wet",5.404106e+01,1,0,37.41436,0.10793690,0.04255726,0.04860792,0.22284525
 41,"wet",1.238613e+02,0,0,33.90341,0.12078524,0.03894853,0.06288879,0.21950375
 42,"dry",2.092256e+00,4,0,25.21597,0.10109652,0.06130623,0.03127591,0.28730126
 42,"early_dry",1.779585e+01,2,0,30.49744,0.14614629,0.05194469,0.07182613,0.27635349
 42,"late_dry",7.788501e-02,1,0,31.27395,0.25685592,0.06847568,0.14659248,0.41013317
 42,"late_wet",4.721888e+01,2,0,36.42501,0.11452688,0.04825763,0.04931019,0.24541791
 42,"wet",6.617638e+01,3,0,35.42210,0.11866853,0.04989701,0.05402378,0.24697135
 43,"dry",1.031140e+01,2,0,25.21359,0.09691576,0.05153349,0.03307224,0.25232363
 43,"early_dry",1.963459e+01,0,0,28.43656,0.15377136,0.05166621,0.07941887,0.27685580
 43,"late_dry",2.591626e-02,3,0,29.46357,0.28222652,0.08860445,0.14868219,0.47039718
 43,"late_wet",4.348893e+01,2,1,37.78720,0.10815215,0.05646697,0.04106840,0.28212012
 43,"wet",5.417371e+01,0,0,36.16829,0.10773887,0.03690263,0.05463099,0.20158032
 44,"dry",4.148091e+00,3,1,25.08412,0.09940074,0.06193385,0.02970874,0.30047543
 44,"early_dry",9.306057e+00,5,0,29.33208,0.16253115,0.07936571,0.06902261,0.34922870
 44,"late_dry",3.136106e-01,2,1,31.16597,0.26201666,0.09711632,0.12791971,0.47997219
 44,"late_wet",2.861885e+01,1,1,36.77900,0.11009116,0.05406752,0.04404127,0.27634508
 44,"wet",5.754509e+01,2,0,33.31047,0.12608450,0.04543029,0.06189991,0.24200610
 45,"dry",9.434522e+00,1,1,24.45980,0.09816430,0.05634786,0.03187105,0.28006052
 45,"early_dry",3.253861e+00,1,0,32.73520,0.13067832,0.04511710,0.06630398,0.24193326
 45,"late_dry",1.686974e-01,4,1,29.98080,0.28185699,0.11824532,0.12645088,0.53131570
 45,"late_wet",4.160407e+01,3,0,37.65448,0.11105755,0.05158164,0.04532559,0.25288869
 45,"wet",1.898726e+01,4,0,36.84850,0.11380793,0.05891118,0.04594653,0.26339063
 46,"dry",1.177709e+01,0,1,24.42046,0.09667386,0.05558065,0.03145575,0.27606278
 46,"early_dry",1.424339e+01,2,0,29.57645,0.15153177,0.05409825,0.07427853,0.28620110
 46,"late_dry",2.771627e-01,1,1,31.50361,0.25486071,0.08998991,0.12921601,0.45917438
 46,"late_wet",3.292867e+01,5,0,37.26522,0.11802316,0.06693723,0.04365037,0.29689269
 46,"wet",2.716889e+01,4,1,36.05153,0.11746727,0.07015620,0.04205496,0.31687521
 47,"dry",1.979279e+00,2,1,24.69230,0.09887218,0.05844045,0.03108704,0.28796229
 47,"early_dry",1.670418e+01,3,0,29.61745,0.15435834,0.06079954,0.07196679,0.30645252
 47,"late_dry",4.175966e-01,3,0,30.30209,0.27426447,0.08595372,0.14457662,0.45839915
 47,"late_wet",5.210804e+01,1,0,39.31922,0.09983250,0.04101489,0.04444604,0.20930785
 47,"wet",5.610334e+01,0,0,36.31312,0.10718106,0.03695584,0.05423908,0.20095949
 48,"dry",1.055845e+01,0,0,25.36430,0.09267524,0.04748679,0.03269375,0.23595496
 48,"early_dry",3.152393e+00,3,0,28.77861,0.15912373,0.06374099,0.07359015,0.31653910
 48,"late_dry",3.618961e-02,0,1,32.40693,0.24306835,0.08696351,0.12276532,0.44181104
 48,"late_wet",2.527700e+01,3,0,37.32587,0.11202552,0.05198998,0.04569256,0.25495771
 48,"wet",4.854901e+01,2,0,33.21741,0.12627505,0.04578640,0.06180749,0.24292500
 49,"dry",9.979844e+00,5,0,24.78733,0.10562835,0.06890281,0.03122518,0.31137398
 49,"early_dry",7.568124e+00,1,0,29.65166,0.14806088,0.04888564,0.07595391,0.26889262
 49,"late_dry",3.648859e-01,1,0,32.39970,0.24700159,0.06838355,0.13940535,0.39904091
 49,"late_wet",3.212839e+01,3,0,36.79297,0.11470066,0.05289586,0.04690976,0.26001583
 49,"wet",5.727220e+01,3,0,34.28229,0.12376244,0.05026282,0.05726822,0.25397253
 50,"dry",5.350427e+00,5,0,26.49483,0.09873441,0.06657792,0.02851096,0.29719462
 50,"early_dry",1.401389e+01,0,1,32.16398,0.13155029,0.05664858,0.06014884,0.29189957
 50,"late_dry",4.980315e-01,4,0,31.51153,0.26775462,0.09486374,0.13381349,0.46089102
 50,"late_wet",2.892410e+01,3,0,38.11305,0.10866062,0.05104125,0.04411288,0.24877870
 50,"wet",4.406383e+01,1,0,35.87365,0.11087887,0.03931933,0.05515599,0.21033299
 51,"dry",4.711331e+00,4,0,24.15222,0.10568016,0.06343779,0.03290789,0.29754770
 51,"early_dry",1.685393e+01,5,0,32.75960,0.14351005,0.07573090,0.05884677,0.31873801
 51,"late_dry",1.458289e-01,4,1,29.77913,0.28377674,0.11877512,0.12744118,0.53420915
 51,"late_wet",3.484409e+01,0,1,36.48241,0.10970933,0.05307581,0.04470061,0.27253436
 51,"wet",7.449732e+01,3,1,35.11899,0.12037241,0.06180940,0.04842452,0.29960042
 52,"dry",3.349820e+00,4,0,25.29575,0.10080669,0.06118524,0.03116799,0.28667260
 52,"early_dry",2.022260e+01,3,1,30.95223,0.14664061,0.07243818,0.05962330,0.34701078
 52,"late_dry",1.309385e-01,3,1,29.64840,0.28049695,0.10910483,0.13185414,0.51914286
 52,"late_wet",4.691909e+01,0,1,39.26602,0.09791359,0.04930230,0.03901708,0.25148411
 52,"wet",2.646395e+01,4,0,34.24062,0.12582065,0.05841923,0.05452636,0.27658702
 53,"dry",7.395148e+00,5,1,26.32490,0.09944867,0.07272073,0.02611851,0.32986906
 53,"early_dry",1.116478e+01,4,1,30.38605,0.15277032,0.08141265,0.05912713,0.37323565
 53,"late_dry",8.370363e-02,3,0,31.01834,0.26763239,0.08470544,0.14056540,0.44937349
 53,"late_wet",5.492591e+01,0,0,37.75049,0.10447963,0.04023447,0.04787470,0.21320143
 53,"wet",1.215678e+02,4,0,33.68908,0.13186686,0.05881669,0.05851848,0.28417006
 54,"dry",1.093241e+01,3,0,24.37168,0.10258147,0.05745290,0.03354412,0.27623659
 54,"early_dry",1.304013e+01,5,0,29.65541,0.16067240,0.07843926,0.06830821,0.34549601
 54,"late_dry",3.760578e-02,0,1,29.81715,0.26651174,0.09172917,0.13799320,0.47167536
 54,"late_wet",4.657915e+01,0,1,36.57129,0.10965170,0.05292466,0.04471831,0.27228696
 54,"wet",1.317214e+01,0,1,32.76872,0.12297840,0.05370626,0.05621498,0.27749273
 55,"dry",6.954826e+00,3,1,25.63833,0.09723988,0.06108327,0.02888213,0.29590481
 55,"early_dry",1.651913e+01,3,0,28.95631,0.15850501,0.06288464,0.07360716,0.31466959
 55,"late_dry",2.926547e-01,0,0,30.78965,0.25737256,0.06687079,0.14884584,0.40715176
 55,"late_wet",4.022147e+01,0,0,38.10837,0.10245503,0.03954060,0.04692427,0.20947020
 55,"wet",5.215304e+01,3,1,33.66934,0.12669535,0.06285743,0.05206405,0.30947064
 56,"dry",7.590241e+00,1,0,24.61584,0.09742338,0.04999594,0.03430309,0.24708521
 56,"early_dry",1.899911e+01,2,0,30.39682,0.14678274,0.05213069,0.07214844,0.27743571
