"index","season_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 34,"wet",5,0,36.51558,0.19783880,0.20394369,0.03438280,0.57586308
 35,"dry",0,0,25.81368,0.14814597,0.05665489,0.06744653,0.29509524
 35,"early_dry",3,1,32.10806,0.23921359,0.15625242,0.05950654,0.61678024
 35,"late_dry",1,1,29.75134,0.30791049,0.15727892,0.11071857,0.64611802
 35,"late_wet",1,0,37.49322,0.19683209,0.07895640,0.08639895,0.38758839
 35,"wet",1,0,34.42801,0.13631291,0.04824183,0.06796107,0.25510017
 36,"dry",2,0,25.60096,0.18461046,0.09616133,0.06582305,0.42096647
 36,"early_dry",3,1,32.26887,0.23754004,0.15558652,0.05891487,0.61475566
 36,"late_dry",2,0,28.98910,0.37824278,0.14183888,0.16468804,0.64561675
 36,"late_wet",2,0,36.59574,0.22663131,0.11226429,0.08291071,0.48317915
 36,"wet",3,0,34.40107,0.17115027,0.11262115,0.05266117,0.43586664
 37,"dry",4,0,24.45057,0.23952338,0.18608033,0.05424612,0.60076827
 37,"early_dry",4,0,30.35255,0.31708836,0.20903627,0.08927008,0.64795495
 37,"late_dry",1,0,29.23840,0.34651805,0.10575262,0.17670751,0.56645716
 37,"late_wet",4,0,38.42052,0.25767885,0.20104894,0.05672829,0.62007263
 37,"wet",0,0,35.73324,0.11451885,0.03510274,0.06198047,0.20202660
 38,"dry",1,0,25.63429,0.16574930,0.06919354,0.07077962,0.34266621
 38,"early_dry",4,0,29.87007,0.32274209,0.21010727,0.09150592,0.65398133
 38,"late_dry",4,1,31.42685,0.36754841,0.23301755,0.08044808,0.78639142
 38,"late_wet",3,0,38.53008,0.23159422,0.15118349,0.06467263,0.54667577
 38,"wet",2,1,36.82427,0.11785782,0.07870010,0.03217050,0.37032309
 39,"dry",1,1,25.25156,0.14963292,0.08489484,0.05118742,0.39233907
 39,"early_dry",5,0,31.12864,0.33657726,0.26259375,0.07556222,0.68683898
 39,"late_dry",0,1,32.29499,0.25412909,0.14100712,0.08774863,0.59154718
 39,"late_wet",3,1,38.85211,0.20001666,0.14673972,0.04259493,0.58941073
 39,"wet",0,0,35.78935,0.11419643,0.03510343,0.06172432,0.20171519
 40,"dry",1,0,25.31170,0.16828034,0.06998214,0.07189883,0.34721369
 40,"early_dry",2,1,29.72357,0.24207274,0.13946495,0.07621504,0.57931340
 40,"late_dry",4,1,29.97821,0.38668069,0.23721270,0.08695950,0.80050300
 40,"late_wet",5,1,37.81644,0.25671130,0.23175607,0.03446121,0.73695817
 40,"wet",0,1,35.08116,0.10485643,0.06446249,0.03742580,0.32683547
 41,"dry",0,0,26.42406,0.14377521,0.05533934,0.06528045,0.28776381
 41,"early_dry",1,0,32.67870,0.21673104,0.07000213,0.11440966,0.37130182
 41,"late_dry",3,0,29.11964,0.40594834,0.18645149,0.14566911,0.70946354
 41,"late_wet",2,0,37.03749,0.22238330,0.11132455,0.08092351,0.47713815
 41,"wet",1,0,33.22598,0.14449433,0.04987462,0.07258021,0.26785736
 42,"dry",2,1,26.09601,0.15841102,0.09421765,0.04821810,0.42478522
 42,"early_dry",2,1,30.47620,0.23397209,0.13543850,0.07323752,0.56764151
 42,"late_dry",3,1,30.01724,0.35736591,0.20047643,0.09792727,0.74667293
 42,"late_wet",0,0,37.55434,0.17740304,0.06349625,0.08427258,0.33574633
 42,"wet",3,0,35.56794,0.16264456,0.11048906,0.04861939,0.42369131
 43,"dry",2,0,25.33812,0.18679540,0.09684281,0.06670952,0.42485428
 43,"early_dry",0,1,28.75764,0.21243632,0.11779097,0.08320806,0.51360922
 43,"late_dry",1,0,31.13590,0.32238582,0.10312741,0.16174215,0.53837243
 43,"late_wet",3,0,37.31255,0.24334573,0.15360116,0.06992468,0.56064305
 43,"wet",4,0,32.68683,0.20613876,0.16400443,0.05066424,0.54582630
 44,"dry",2,0,25.52385,0.18524874,0.09635620,0.06608540,0.42209250
 44,"early_dry",1,1,33.30866,0.18626117,0.10572849,0.06477940,0.47728357
 44,"late_dry",3,0,30.45449,0.38807223,0.18517211,0.13659904,0.69190692
 44,"late_wet",1,1,36.85931,0.18019611,0.11302825,0.05512871,0.49709658
 44,"wet",0,1,34.99047,0.10538653,0.06471870,0.03769639,0.32772750
 45,"dry",0,1,24.71949,0.13999558,0.08318844,0.04753432,0.38635823
 45,"early_dry",5,0,29.50425,0.35601376,0.26599566,0.08256209,0.70361071
 45,"late_dry",1,0,31.78696,0.31437489,0.10314131,0.15593745,0.53053666
 45,"late_wet",2,0,38.21800,0.21140803,0.10942010,0.07536357,0.46276852
 45,"wet",5,0,36.20767,0.20021918,0.20492001,0.03528873,0.57819549
 46,"dry",0,0,24.23886,0.16005892,0.06157357,0.07235234,0.31794957
 46,"early_dry",1,1,30.47755,0.21345038,0.11659303,0.07892057,0.51203399
 46,"late_dry",4,0,29.86056,0.42570469,0.23365634,0.12398406,0.74774933
 46,"late_wet",2,0,39.22533,0.20247502,0.10840166,0.07043685,0.45246783
 46,"wet",4,1,36.28031,0.15222329,0.13068503,0.02637638,0.53207070
 47,"dry",1,0,25.14889,0.16957282,0.07041359,0.07244734,0.34959965
 47,"early_dry",1,1,31.61408,0.20215451,0.11149476,0.07356144,0.49635967
 47,"late_dry",2,1,30.93593,0.31825970,0.16905315,0.10102317,0.67761905
 47,"late_wet",5,0,37.00013,0.29940998,0.25911490,0.05479232,0.68494387
 47,"wet",4,0,32.79347,0.20522223,0.16362810,0.05038845,0.54439702
 48,"dry",2,0,24.05782,0.19782149,0.10089502,0.07068838,0.44581130
 48,"early_dry",0,1,31.62821,0.18429016,0.10318100,0.07104796,0.47107204
 48,"late_dry",5,1,28.98545,0.42983348,0.28155550,0.07892522,0.84909361
 48,"late_wet",2,0,38.20313,0.21154283,0.10943903,0.07543536,0.46293376
 48,"wet",0,0,34.70843,0.12058645,0.03547961,0.06651662,0.20877845
 49,"dry",1,0,26.52274,0.15898124,0.06745425,0.06749273,0.33135470
 49,"early_dry",1,0,30.07785,0.24267159,0.07148086,0.13255332,0.40198991
 49,"late_dry",5,1,29.53375,0.42240573,0.28038640,0.07681297,0.84440390
 49,"late_wet",1,1,37.82181,0.17175202,0.10874045,0.05172199,0.48419184
 49,"wet",2,1,35.00214,0.12948656,0.08430290,0.03679198,0.39033215
 50,"dry",5,1,26.88370,0.21026159,0.18951370,0.03198972,0.64825516
 50,"early_dry",4,0,29.09997,0.33192635,0.21201270,0.09479414,0.66434108
 50,"late_dry",4,0,31.51295,0.40363353,0.23347820,0.11295955,0.73067679
 50,"late_wet",3,0,38.02646,0.23638534,0.15210627,0.06687032,0.55218926
 50,"wet",4,0,33.83905,0.19646251,0.16019173,0.04750927,0.53126753
